	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
1	303.813722	141.187969	0.000000	254.000000	232.000000	0.000000	-13.542000	5.994000	500.672307	-45467.069210	-24940.351038	1135.365374	0	0	0	765.000000	232.000000	0.000000	0.180480	0.067260	2.733000	104.762894	-245.368136	-317.141638
2	303.513407	139.176579	0.000000	254.000000	232.000000	0.000000	-12.254400	4.329000	501.289007	-46531.360733	-24820.526580	1144.163244	0	0	0	765.000000	232.000000	0.000000	0.293280	0.470820	3.006300	167.238019	-240.662089	-332.758121
3	302.434169	138.505188	0.000000	254.000000	232.000000	0.000000	-10.323000	4.440000	507.544107	-47452.740988	-24582.477286	1406.071379	0	0	0	765.000000	232.000000	0.000000	0.248160	-0.403560	4.190600	-92.345389	-268.518045	-220.867386
4	301.457146	139.093608	0.000000	254.000000	232.000000	0.000000	-9.146400	4.129200	515.561207	-47898.931866	-24467.063368	1316.990335	0	0	0	765.000000	232.000000	0.000000	0.586560	-0.089680	3.644000	51.405898	-299.828003	-311.791182
5	301.397086	141.167523	0.000000	254.000000	232.000000	0.000000	-7.858800	2.042400	527.102307	-47878.008074	-24983.113178	956.886935	0	0	0	765.000000	232.000000	0.000000	0.428640	-0.381140	3.735100	-100.681487	-434.896467	-242.282622
6	302.197768	143.869949	0.000000	254.000000	232.000000	0.000000	-7.503600	1.509600	543.048407	-47858.884119	-26173.721337	610.157385	0	0	0	765.000000	232.000000	0.000000	0.699360	0.179360	1.548700	-3.016366	-264.124987	-193.120457
7	303.261080	146.966893	0.000000	254.000000	232.000000	0.000000	-6.726600	-1.931400	553.708508	-47083.555040	-27276.279158	-16.448334	0	0	0	765.000000	232.000000	0.000000	0.315840	-0.538080	4.555000	-97.708921	-243.354629	-296.288253
8	304.518330	149.750076	0.000000	254.000000	232.000000	0.000000	-7.015200	-6.748800	562.782808	-46288.843059	-28430.847620	-584.972459	0	0	0	765.000000	232.000000	0.000000	0.496320	0.358720	3.188500	22.079302	-295.790043	-300.544441
9	304.812105	151.492522	0.000000	254.000000	232.000000	0.000000	-6.904200	-6.660000	574.412008	-46244.461845	-29187.083036	-816.138997	0	0	0	765.000000	232.000000	0.000000	0.699360	-0.089680	3.735100	-4.923664	-153.815230	-263.347441
10	304.045188	151.966940	0.000000	254.000000	232.000000	0.000000	-7.525800	-8.214000	573.442908	-45894.390716	-28698.058233	-1011.485904	0	0	0	765.000000	232.000000	0.000000	0.112800	-0.358720	2.186400	3.993186	-223.286829	-183.222437
