	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
1	270.223885	208.135394	0.000000	254.000000	232.000000	0.000000	0.732600	-1.598400	719.072210	-17160.375183	-11666.144844	-515.620353	0	0	0	765.000000	232.000000	0.000000	0.180480	0.089680	3.826200	-7.377397	-481.805470	-263.337339
2	271.096775	208.343315	0.000000	254.000000	232.000000	0.000000	-0.266400	-1.487400	721.098510	-17058.800450	-12328.458712	-626.579412	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.470820	2.824100	55.689036	-409.759976	-253.195665
3	272.354462	208.279021	0.000000	254.000000	232.000000	0.000000	-1.265400	-1.110000	720.922310	-17100.982852	-13232.141287	-599.764778	0	0	0	765.000000	232.000000	0.000000	0.744480	-0.313880	4.463900	-173.410563	-382.170751	-285.104211
4	273.457414	208.195961	0.000000	254.000000	232.000000	0.000000	-2.264400	-1.509600	721.539010	-17175.542391	-14039.283428	-768.467992	0	0	0	765.000000	232.000000	0.000000	0.631680	-0.336300	2.641900	173.571034	-272.185768	-193.751451
5	274.357775	208.127056	0.000000	254.000000	232.000000	0.000000	-3.241200	-1.509600	722.684310	-17252.601966	-14712.244502	-763.852052	0	0	0	765.000000	232.000000	0.000000	0.112800	-0.291460	4.008400	-50.393067	-234.830236	-274.566141
6	274.850806	208.437318	0.000000	254.000000	232.000000	0.000000	-3.552000	-1.909200	723.477210	-17047.063162	-15085.082724	-825.995696	0	0	0	765.000000	232.000000	0.000000	0.518880	-0.269040	2.915200	-86.630211	-211.689573	-199.093896
7	275.271150	208.362228	0.000000	254.000000	232.000000	0.000000	-4.129200	-1.842600	723.917710	-17111.801500	-15398.562330	-799.230013	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.179360	3.826200	-64.735142	-156.968028	-376.543182
8	275.680099	208.529751	0.000000	254.000000	232.000000	0.000000	-4.151400	-1.709400	722.684310	-16961.580687	-15667.867585	-768.121783	0	0	0	765.000000	232.000000	0.000000	0.451200	-0.044840	3.644000	-96.971537	-247.541513	-247.257234
9	276.056471	208.348756	0.000000	254.000000	232.000000	0.000000	-4.528800	-2.286600	721.450910	-17063.211199	-15912.660731	-790.234563	0	0	0	765.000000	232.000000	0.000000	0.180480	0.067260	4.008400	-45.847803	-152.802176	-301.008238
10	276.588097	208.458686	0.000000	254.000000	232.000000	0.000000	-4.617600	-1.931400	719.688910	-16942.422637	-16256.402800	-723.572436	0	0	0	765.000000	232.000000	0.000000	0.203040	-0.381140	3.552900	-16.169561	-275.424394	-236.991903
