	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
1	262.969199	262.448955	0.000000	254.000000	232.000000	0.000000	13.630800	0.999000	719.777010	21916.457727	-6455.822932	-104.700314	0	0	0	765.000000	232.000000	0.000000	0.270720	-0.470820	4.646100	-113.897448	-269.928261	-366.138173
2	265.446253	262.030746	0.000000	254.000000	232.000000	0.000000	13.075800	0.643800	721.274710	21660.417908	-8255.892835	-135.689774	0	0	0	765.000000	232.000000	0.000000	0.045120	-0.156940	3.461800	-44.959206	-222.155130	-177.634074
3	268.390085	261.848416	0.000000	254.000000	232.000000	0.000000	11.477400	0.976800	722.596210	21568.352051	-10398.220645	-33.201690	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.358720	3.279600	-165.311982	-231.576470	-263.819772
4	273.160124	261.267361	0.000000	254.000000	232.000000	0.000000	7.925400	1.687200	725.767810	21241.308390	-13905.801243	211.838087	0	0	0	765.000000	232.000000	0.000000	0.406080	0.067260	2.368600	-17.067642	-234.887440	-220.254157
5	278.278152	260.708580	0.000000	254.000000	232.000000	0.000000	3.574200	2.220000	726.208310	20848.409580	-17630.995617	310.346927	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.605340	3.279600	-71.680855	-203.357868	-264.109057
6	283.882864	259.998097	0.000000	254.000000	232.000000	0.000000	-0.976800	2.597400	727.617910	20371.917181	-21743.306945	524.473168	0	0	0	765.000000	232.000000	0.000000	0.000000	-0.201780	3.644000	-140.594488	-239.429422	-252.993287
7	289.386139	259.737902	0.000000	254.000000	232.000000	0.000000	-4.329000	2.686200	726.913110	20163.044937	-25722.648500	653.957704	0	0	0	765.000000	232.000000	0.000000	0.496320	-0.807120	3.006300	89.473521	-173.295717	-215.867172
8	294.841689	259.402298	0.000000	254.000000	232.000000	0.000000	-7.481400	2.286600	725.327310	19875.634954	-29623.592462	658.986342	0	0	0	765.000000	232.000000	0.000000	0.451200	-0.381140	5.101600	95.821435	-268.063679	-258.407313
9	300.553033	259.453601	0.000000	254.000000	232.000000	0.000000	-9.812400	2.086800	722.948610	19847.542451	-33655.450806	690.525253	0	0	0	765.000000	232.000000	0.000000	0.631680	-0.246620	4.463900	91.908061	-199.073370	-220.535256
10	306.724903	259.470029	0.000000	254.000000	232.000000	0.000000	-12.964800	1.509600	721.274710	19813.437354	-38029.139131	740.018100	0	0	0	765.000000	232.000000	0.000000	0.383520	-0.067260	4.190600	61.447788	-104.461925	-263.443057
