	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
1	283.124357	269.753894	0.000000	254.000000	232.000000	0.000000	-3.130200	-0.732600	720.305610	27194.341385	-20978.437427	689.581420	0	0	0	765.000000	232.000000	0.000000	0.270720	-0.022420	3.552900	-30.389097	-221.614936	-209.656000
2	283.127428	269.866017	0.000000	254.000000	232.000000	0.000000	-3.108000	-0.555000	720.922310	27298.456515	-20998.612517	578.438322	0	0	0	765.000000	232.000000	0.000000	0.496320	-0.313880	3.735100	-60.540452	-221.181602	-328.222401
3	282.913104	270.036213	0.000000	254.000000	232.000000	0.000000	-2.908200	-0.799200	720.217510	27394.346396	-20823.723825	613.982895	0	0	0	765.000000	232.000000	0.000000	0.248160	-0.022420	2.733000	-67.602214	-304.433082	-252.687108
4	282.890835	270.031331	0.000000	254.000000	232.000000	0.000000	-2.708400	-0.954600	720.393710	27397.531553	-20812.775559	676.190364	0	0	0	765.000000	232.000000	0.000000	0.180480	-0.538080	2.368600	137.695018	-207.315893	-253.318102
5	282.448014	270.079543	0.000000	254.000000	232.000000	0.000000	-2.553000	-0.666000	720.305610	27428.908468	-20491.263975	680.585081	0	0	0	765.000000	232.000000	0.000000	0.360960	-0.425980	2.733000	76.229958	-290.000254	-290.761543
6	282.585163	270.179361	0.000000	254.000000	232.000000	0.000000	-2.508600	-0.421800	719.953210	27487.353581	-20579.979521	627.217773	0	0	0	765.000000	232.000000	0.000000	0.338400	0.134520	3.188500	60.286510	-393.126845	-295.490585
7	282.681130	270.313093	0.000000	254.000000	232.000000	0.000000	-2.508600	0.133200	720.569910	27607.262145	-20666.759488	653.843374	0	0	0	765.000000	232.000000	0.000000	0.564000	-0.515660	4.099500	-59.133021	-327.704991	-220.876965
8	282.561598	270.388732	0.000000	254.000000	232.000000	0.000000	-2.020200	-0.088800	720.922310	27675.293562	-20590.692855	658.220664	0	0	0	765.000000	232.000000	0.000000	0.248160	0.336300	1.457600	-43.799847	-340.561839	-263.021930
9	282.488487	270.346549	0.000000	254.000000	232.000000	0.000000	-2.397600	-0.022200	721.539010	27668.531061	-20555.554684	609.386380	0	0	0	765.000000	232.000000	0.000000	0.721920	-0.538080	5.283800	70.892954	-372.850379	-242.353506
10	282.612615	270.369650	0.000000	254.000000	232.000000	0.000000	-2.442000	-0.155400	721.715210	27691.960243	-20650.159540	533.839803	0	0	0	765.000000	232.000000	0.000000	0.180480	-0.067260	2.368600	109.063078	-291.971697	-317.299430
11	282.624791	270.634279	0.000000	254.000000	232.000000	0.000000	-2.397600	-0.510600	720.129410	27821.680823	-20613.553654	569.420450	0	0	0	765.000000	232.000000	0.000000	0.676800	-0.022420	3.370700	-30.318768	-350.042082	-241.766053
12	282.712909	270.614627	0.000000	254.000000	232.000000	0.000000	-2.530800	-0.666000	719.072210	27766.705132	-20646.654878	538.341191	0	0	0	765.000000	232.000000	0.000000	0.360960	-0.112100	2.550800	172.928588	-270.974133	-333.415762
