	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
1	276.939760	236.879243	0.000000	254.000000	232.000000	0.000000	-0.399600	-2.042400	716.781610	3497.351523	-16442.797943	258.043332	0	0	0	765.000000	232.000000	0.000000	0.157920	-0.381140	3.552900	68.272035	-330.109768	-258.520520
2	276.543771	236.494901	0.000000	254.000000	232.000000	0.000000	-0.732600	-2.242200	713.786210	3208.398590	-16091.432680	186.997588	0	0	0	765.000000	232.000000	0.000000	0.248160	-0.179360	3.188500	141.923800	-267.342582	-295.893599
3	276.537203	236.392921	0.000000	254.000000	232.000000	0.000000	-1.087800	-2.020200	710.350310	3120.512560	-16009.309241	169.261988	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.291460	4.281700	-69.263360	-486.719344	-215.340676
4	276.533819	236.164664	0.000000	254.000000	232.000000	0.000000	-1.110000	-1.598400	707.002510	2944.428176	-15931.466437	169.232129	0	0	0	765.000000	232.000000	0.000000	0.473760	-0.156940	4.190600	123.642670	-249.058590	-215.113219
5	276.736053	235.721955	0.000000	254.000000	232.000000	0.000000	-0.777000	-1.798200	703.038010	2616.675649	-15984.309782	98.069835	0	0	0	765.000000	232.000000	0.000000	0.428640	-0.336300	1.822000	-107.584472	-263.340794	-296.008024
6	276.326002	235.392504	0.000000	254.000000	232.000000	0.000000	-1.132200	-1.420800	701.892710	2381.173650	-15670.458287	115.881803	0	0	0	765.000000	232.000000	0.000000	0.203040	-0.201780	2.733000	19.257950	-95.744844	-274.426114
7	276.686697	235.205834	0.000000	254.000000	232.000000	0.000000	-0.843600	-1.243200	699.778310	2243.373330	-15875.658777	49.142088	0	0	0	765.000000	232.000000	0.000000	-0.090240	0.044840	3.097400	-93.278634	-404.596209	-279.627835
8	276.490525	234.866071	0.000000	254.000000	232.000000	0.000000	-0.843600	-0.621600	697.311510	1998.544349	-15682.902115	0.197358	0	0	0	765.000000	232.000000	0.000000	0.067680	-0.179360	3.279600	235.712631	-410.941332	-252.940864
9	276.985692	234.597423	0.000000	254.000000	232.000000	0.000000	-0.577200	-0.133200	695.373310	1806.178720	-15983.636487	0.111666	0	0	0	765.000000	232.000000	0.000000	0.518880	-0.605340	4.190600	-43.885302	-241.404218	-280.155375
10	276.667156	234.599916	0.000000	254.000000	232.000000	0.000000	-0.732600	-0.266400	696.342410	1810.431660	-15784.101774	-53.190485	0	0	0	765.000000	232.000000	0.000000	0.203040	-0.336300	2.824100	-89.206483	-208.726109	-231.561506
11	276.980976	234.787177	0.000000	254.000000	232.000000	0.000000	-0.133200	-0.199800	699.249710	1948.932518	-16069.440789	-22.185707	0	0	0	765.000000	232.000000	0.000000	0.383520	-0.156940	4.463900	1.565982	-292.906514	-268.926051
12	277.284706	234.517093	0.000000	254.000000	232.000000	0.000000	-0.022200	-0.155400	702.333210	1767.837676	-16353.622546	-217.788691	0	0	0	765.000000	232.000000	0.000000	0.270720	-0.201780	2.368600	-27.513389	-323.693956	-236.755389
13	277.519846	235.000212	0.000000	254.000000	232.000000	0.000000	0.577200	-0.555000	706.209610	2118.778596	-16609.940932	-182.301617	0	0	0	765.000000	232.000000	0.000000	0.428640	-0.448400	3.461800	-75.040231	-274.670479	-247.739318
14	277.700275	234.793989	0.000000	254.000000	232.000000	0.000000	0.222000	-0.133200	709.557410	1982.495943	-16816.705806	-213.388202	0	0	0	765.000000	232.000000	0.000000	0.090240	-0.022420	2.915200	-39.525344	-289.109200	-172.081066
15	277.868105	235.223376	0.000000	254.000000	232.000000	0.000000	1.021200	-0.288600	712.024210	2295.121963	-16994.668887	-120.170627	0	0	0	765.000000	232.000000	0.000000	0.338400	-0.134520	3.188500	-109.660030	-233.221439	-306.561769
16	278.223504	234.970798	0.000000	254.000000	232.000000	0.000000	0.865800	-0.599400	716.429210	2128.366475	-17354.425920	-124.563568	0	0	0	765.000000	232.000000	0.000000	0.203040	0.000000	3.370700	73.758106	-294.023075	-198.900226
17	278.452229	235.221513	0.000000	254.000000	232.000000	0.000000	0.976800	-0.044400	718.984110	2316.216727	-17580.763763	-142.407393	0	0	0	765.000000	232.000000	0.000000	0.338400	-0.627760	2.459700	30.971543	-138.304552	-285.629139
18	278.625235	234.992954	0.000000	254.000000	232.000000	0.000000	0.399600	0.000000	723.124810	2164.279396	-17807.118050	-57.854932	0	0	0	765.000000	232.000000	0.000000	0.022560	-0.291460	2.824100	-218.819119	-286.374596	-258.467574
19	279.169262	235.655255	0.000000	254.000000	232.000000	0.000000	0.754800	0.088800	725.327310	2651.255949	-18255.952773	17.640807	0	0	0	765.000000	232.000000	0.000000	0.631680	-0.381140	4.737200	-72.921098	-265.237354	-274.471048
20	279.069735	235.542472	0.000000	254.000000	232.000000	0.000000	0.244200	0.466200	728.498910	2580.686911	-18263.274558	111.044973	0	0	0	765.000000	232.000000	0.000000	0.383520	-0.179360	4.099500	-92.987835	-264.260472	-199.040950
21	279.541824	235.793345	0.000000	254.000000	232.000000	0.000000	0.266400	0.466200	726.032110	2754.090226	-18544.184236	164.381090	0	0	0	765.000000	232.000000	0.000000	0.496320	-0.156940	1.275400	2.796743	-218.296374	-225.860111
