	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
25	271.680500	260.395652	0.000000	254.000000	232.000000	0.000000	-2.819400	-0.532800	718.543610	20403.514077	-12704.210178	391.696034	0	0	0	765.000000	232.000000	0.000000	0.180480	-0.156940	4.828300	-111.163472	-229.013522	-279.760025
26	271.489221	260.181903	0.000000	254.000000	232.000000	0.000000	-2.819400	-0.377400	719.777010	20284.685598	-12588.339103	342.788600	0	0	0	765.000000	232.000000	0.000000	0.022560	-0.313880	3.279600	-97.894227	-352.752300	-253.116073
27	271.560058	259.981149	0.000000	254.000000	232.000000	0.000000	-2.664000	0.199800	718.896010	20115.536082	-12623.855863	369.385230	0	0	0	765.000000	232.000000	0.000000	0.564000	-0.022420	4.008400	53.876676	-242.942327	-290.209794
28	271.378383	259.751171	0.000000	254.000000	232.000000	0.000000	-2.908200	0.577200	719.160310	19957.540765	-12497.843034	373.842773	0	0	0	765.000000	232.000000	0.000000	0.112800	-0.089680	4.463900	-23.969780	-150.708734	-306.596253
29	271.355530	259.502794	0.000000	254.000000	232.000000	0.000000	-2.619600	0.577200	719.688910	19793.455765	-12490.582677	387.127269	0	0	0	765.000000	232.000000	0.000000	0.564000	0.156940	3.917300	-4.801125	-289.866469	-214.710205
30	270.811295	259.628169	0.000000	254.000000	232.000000	0.000000	-2.508600	0.599400	720.305610	19900.725216	-12109.270457	360.436067	0	0	0	765.000000	232.000000	0.000000	0.654240	-0.269040	4.646100	-68.533539	-266.006408	-236.686247
31	271.253942	259.999948	0.000000	254.000000	232.000000	0.000000	-2.353200	-0.111000	718.984110	20131.517643	-12405.310365	316.015702	0	0	0	765.000000	232.000000	0.000000	-0.248160	0.156940	2.550800	-60.568053	-247.324439	-215.023699
32	270.805353	260.343351	0.000000	254.000000	232.000000	0.000000	-2.397600	0.111000	720.834210	20430.856674	-12113.873297	444.910717	0	0	0	765.000000	232.000000	0.000000	0.631680	-0.044840	4.828300	-41.134280	-255.938014	-241.809768
33	270.553779	260.681223	0.000000	254.000000	232.000000	0.000000	-2.175600	0.000000	721.274710	20687.041141	-11939.822007	404.875746	0	0	0	765.000000	232.000000	0.000000	0.631680	-0.022420	4.372800	6.824020	-302.434714	-354.717269
34	270.731782	261.069409	0.000000	254.000000	232.000000	0.000000	-2.264400	-0.111000	721.450910	20972.151856	-12071.159613	462.685168	0	0	0	765.000000	232.000000	0.000000	0.428640	-0.067260	4.555000	-32.516866	-435.858210	-263.425640
35	270.340790	261.372657	0.000000	254.000000	232.000000	0.000000	-2.331000	0.377400	722.596210	21224.570852	-11807.793004	462.657751	0	0	0	765.000000	232.000000	0.000000	0.360960	0.022420	3.188500	65.316515	-356.377958	-284.857770
