	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
1	282.368439	257.384715	0.000000	254.000000	232.000000	0.000000	-6.149400	-5.527800	727.882210	18477.082531	-20648.882114	-38.486633	0	0	0	765.000000	232.000000	0.000000	0.135360	-0.291460	4.008400	80.960527	-169.862748	-339.091033
2	285.062044	258.953523	0.000000	254.000000	232.000000	0.000000	-5.550000	-5.439000	721.803310	19455.142353	-22420.685873	68.081373	0	0	0	765.000000	232.000000	0.000000	0.496320	-0.381140	3.552900	-109.993557	-324.436085	-274.523297
3	285.932292	258.768753	0.000000	254.000000	232.000000	0.000000	-7.770000	-5.772000	723.389110	19364.224482	-23099.472476	46.271512	0	0	0	765.000000	232.000000	0.000000	0.406080	-0.493240	2.824100	101.730555	-348.296146	-188.644823
4	288.335800	260.549347	0.000000	254.000000	232.000000	0.000000	-7.015200	-6.815400	716.957810	20468.677335	-24617.319698	228.467901	0	0	0	765.000000	232.000000	0.000000	0.428640	-0.269040	4.099500	-105.852150	-397.699107	-295.929128
5	288.516372	260.713283	0.000000	254.000000	232.000000	0.000000	-8.968800	-8.302800	718.103110	20619.098055	-24786.314031	184.478771	0	0	0	765.000000	232.000000	0.000000	0.135360	-0.381140	3.188500	-81.705700	-168.901005	-188.617828
6	289.936080	261.974855	0.000000	254.000000	232.000000	0.000000	-8.191800	-8.325000	717.486410	21506.551131	-25783.649293	268.799575	0	0	0	765.000000	232.000000	0.000000	0.157920	-0.381140	3.279600	12.083131	-235.727183	-210.120320
7	290.097323	261.227249	0.000000	254.000000	232.000000	0.000000	-9.745800	-8.258400	719.424610	21026.802380	-25969.302655	77.931190	0	0	0	765.000000	232.000000	0.000000	0.112800	-0.134520	4.646100	-25.781067	-197.953456	-102.292451
8	291.509332	261.877304	0.000000	254.000000	232.000000	0.000000	-8.680200	-7.747800	716.429210	21404.973283	-26872.780842	95.483863	0	0	0	765.000000	232.000000	0.000000	0.586560	-0.313880	3.552900	-69.852522	-262.096341	-242.142769
9	291.490922	260.324470	0.000000	254.000000	232.000000	0.000000	-9.967800	-6.682200	720.481810	20407.265686	-27011.527157	-68.841062	0	0	0	765.000000	232.000000	0.000000	0.315840	-0.291460	2.550800	-87.360031	-306.847105	-199.198568
10	292.752642	260.551603	0.000000	254.000000	232.000000	0.000000	-8.791200	-5.905200	717.222110	20477.841135	-27794.251512	126.470881	0	0	0	765.000000	232.000000	0.000000	0.541440	-0.313880	5.010500	-14.120758	-299.679078	-242.160185
11	292.546608	259.348182	0.000000	254.000000	232.000000	0.000000	-10.411800	-5.083800	720.041310	19691.820918	-27755.150211	140.023774	0	0	0	765.000000	232.000000	0.000000	0.338400	-0.448400	4.463900	18.396954	-404.029090	-215.507350
12	293.747893	259.778537	0.000000	254.000000	232.000000	0.000000	-9.213000	-4.728600	717.750710	19938.064479	-28529.078363	339.810576	0	0	0	765.000000	232.000000	0.000000	0.541440	-0.381140	3.917300	-44.457418	-176.116149	-355.172881
13	293.400528	258.795819	0.000000	254.000000	232.000000	0.000000	-10.345200	-5.350200	719.688910	19284.653430	-28356.122898	224.488434	0	0	0	765.000000	232.000000	0.000000	0.225600	-0.403560	3.370700	1.795088	-351.336192	-210.120494
14	294.200907	259.794256	0.000000	254.000000	232.000000	0.000000	-8.502600	-5.505600	716.164910	19905.271069	-28790.478852	397.533418	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.022420	4.099500	-11.835286	-25.601803	-268.803092
15	293.485618	259.228075	0.000000	254.000000	232.000000	0.000000	-9.412800	-6.637800	720.834210	19626.927886	-28462.584251	313.328276	0	0	0	765.000000	232.000000	0.000000	0.293280	0.112100	3.097400	-278.315189	-363.049555	-306.289900
16	294.644886	260.244295	0.000000	254.000000	232.000000	0.000000	-8.680200	-7.392600	719.072210	20309.687686	-29226.608278	437.720460	0	0	0	765.000000	232.000000	0.000000	0.609120	-0.179360	3.370700	19.882277	-215.727533	-252.731868
17	294.333091	259.711273	0.000000	254.000000	232.000000	0.000000	-9.457200	-8.058600	722.860510	20031.384864	-29155.198518	300.114709	0	0	0	765.000000	232.000000	0.000000	0.699360	-0.201780	4.190600	-9.451882	-257.817736	-252.723334
18	295.561506	260.618281	0.000000	254.000000	232.000000	0.000000	-9.168600	-8.325000	720.129410	20608.866131	-29929.662663	464.550523	0	0	0	765.000000	232.000000	0.000000	0.451200	0.022420	2.733000	65.492338	-143.004706	-279.445137
19	295.284856	259.672350	0.000000	254.000000	232.000000	0.000000	-10.589400	-8.613600	723.741510	20027.628401	-29879.563758	402.592248	0	0	0	765.000000	232.000000	0.000000	0.586560	-0.515660	3.552900	-30.774835	-299.721143	-306.913056
20	296.405169	260.787440	0.000000	254.000000	232.000000	0.000000	-9.701400	-9.146400	720.746110	20748.435113	-30563.360334	593.614480	0	0	0	765.000000	232.000000	0.000000	0.180480	0.224200	3.552900	26.098169	-406.235285	-354.602147
21	296.038515	260.252816	0.000000	254.000000	232.000000	0.000000	-10.767000	-10.389600	720.922310	20368.085506	-30306.503604	545.005414	0	0	0	765.000000	232.000000	0.000000	0.383520	-0.246620	3.917300	-123.676141	-198.203348	-301.298046
22	296.941597	260.818465	0.000000	254.000000	232.000000	0.000000	-9.634800	-11.344200	718.103110	20694.629057	-30836.494459	713.793653	0	0	0	765.000000	232.000000	0.000000	0.248160	0.201780	3.552900	62.757288	-136.083217	-381.491321
23	296.664701	260.202289	0.000000	254.000000	232.000000	0.000000	-10.522800	-12.365400	720.305610	20314.266809	-30731.623334	611.795745	0	0	0	765.000000	232.000000	0.000000	0.406080	0.179360	4.281700	-4.071304	-387.630712	-263.145063
24	296.777572	260.585699	0.000000	254.000000	232.000000	0.000000	-8.991000	-11.655000	720.129410	20585.402299	-30805.387895	767.045854	0	0	0	765.000000	232.000000	0.000000	0.496320	-0.067260	3.279600	52.417035	-342.927905	-241.888316
25	296.295137	259.013475	0.000000	254.000000	232.000000	0.000000	-9.945600	-11.144400	721.010410	19476.996531	-30495.233707	771.617062	0	0	0	765.000000	232.000000	0.000000	0.406080	-0.493240	4.828300	-96.073457	-228.366467	-306.956423
26	296.830852	259.269251	0.000000	254.000000	232.000000	0.000000	-8.569200	-10.922400	717.398310	19562.914671	-30726.780866	944.713438	0	0	0	765.000000	232.000000	0.000000	0.135360	0.246620	2.733000	-0.862069	-196.585305	-236.281665
27	295.975130	258.257612	0.000000	254.000000	232.000000	0.000000	-9.657000	-11.122200	718.984110	18878.805937	-30179.451333	949.364787	0	0	0	765.000000	232.000000	0.000000	0.406080	-0.448400	2.824100	-9.117282	-263.640342	-349.926226
28	296.520706	258.491948	0.000000	254.000000	232.000000	0.000000	-8.635800	-10.900200	714.402910	18925.924484	-30376.916210	984.728319	0	0	0	765.000000	232.000000	0.000000	0.225600	-0.224200	3.370700	-28.770679	-247.867987	-252.932504
29	295.881115	257.830876	0.000000	254.000000	232.000000	0.000000	-10.145400	-10.789200	716.429210	18505.994203	-30004.853957	878.303615	0	0	0	765.000000	232.000000	0.000000	0.406080	-0.807120	4.555000	-108.154668	-190.421085	-328.835804
30	296.446951	258.495413	0.000000	254.000000	232.000000	0.000000	-9.035400	-10.989000	713.433810	18902.723789	-30283.089675	918.130350	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.336300	4.737200	-33.650542	-280.317236	-145.481873
